A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
101,5,53,48,Cd,   x,-75836.45600,1.49000,8450.36500,0.01500,100918586.21100,1.60000,False
101,3,52,49,In,   x,-68614.00000,196.00000,8371.00000,2.00000,100926340.00000,210.00000,True
101,1,51,50,Sn,  ep,-60305.62600,300.00500,8281.10200,2.97000,100935259.24400,322.06800,False
102,28,65,37,Rb,   x,-37707.00000,298.00000,8157.00000,3.00000,101959520.00000,320.00000,True
102,26,64,38,Sr,   x,-52159.30400,67.06800,8291.22000,0.65800,101944004.68000,72.00000,False
102,24,63,39,Y,   x,-61173.17700,4.07700,8371.92200,0.04000,101934327.88900,4.37700,False
102,22,62,40,Zr,    ,-71587.70700,8.76700,8466.35500,0.08600,101923147.43100,9.41200,False
102,20,61,41,Nb,    ,-76304.54400,2.54500,8504.92800,0.02500,101918083.69700,2.73200,False
102,18,60,42,Mo,    ,-83566.06100,8.31200,8568.45000,0.08100,101910288.13800,8.92300,False
102,16,59,43,Tc,    ,-84572.87800,9.16600,8570.65000,0.09000,101909207.27500,9.84000,False
102,14,58,44,Ru,    ,-89106.43700,0.41800,8607.42700,0.00400,101904340.30000,0.44800,False
102,12,57,45,Rh,   -,-86783.31800,6.41000,8576.98100,0.06300,101906834.27000,6.88100,False
102,10,56,46,Pd,    ,-87903.17100,0.55400,8580.29000,0.00500,101905632.05800,0.59400,False
102,8,55,47,Ag,   +,-82246.69100,8.17100,8517.16400,0.08000,101911704.54000,8.77100,False
102,6,54,48,Cd,    ,-79659.69100,1.66200,8484.13100,0.01600,101914481.79900,1.78400,False
102,4,53,49,In,    ,-70694.88400,4.57300,8388.57100,0.04500,101924105.91600,4.90900,False
102,2,52,50,Sn,   -,-64934.88400,100.10500,8324.43000,0.98100,101930289.53000,107.46600,False
103,29,66,37,Rb,   x,-33608.00000,401.00000,8117.00000,4.00000,102963920.00000,430.00000,True
103,27,65,38,Sr,   x,-47422.00000,196.00000,8243.00000,2.00000,102949090.00000,210.00000,True
103,25,64,39,Y,   x,-58457.57500,11.20400,8342.63800,0.10900,102937243.20800,12.02800,False
103,23,63,40,Zr,   x,-67815.33400,9.23200,8425.89500,0.09000,102927197.24000,9.91100,False
103,21,62,41,Nb,   x,-75028.67100,3.93500,8488.33100,0.03800,102919453.40300,4.22400,False
103,19,61,42,Mo,   x,-80960.67000,9.23200,8538.32800,0.09000,102913085.14000,9.91100,False
103,17,60,43,Tc,  +p,-84603.86700,9.81000,8566.10300,0.09500,102909174.00800,10.53100,False
103,15,59,44,Ru,    ,-87267.17100,0.44300,8584.36500,0.00400,102906314.83300,0.47500,False
103,13,58,45,Rh,    ,-88031.70800,2.30100,8584.19200,0.02200,102905494.06800,2.47000,False
103,11,57,46,Pd,  -n,-87457.18900,0.95000,8571.01900,0.00900,102906110.84000,1.01900,False
103,9,56,47,Ag,   x,-84802.69200,4.09900,8537.65100,0.04000,102908960.56000,4.40000,False
103,7,55,48,Cd,    ,-80651.61600,1.81100,8489.75400,0.01800,102913416.92300,1.94300,False
103,5,54,49,In,    ,-74632.59100,9.62500,8423.72100,0.09300,102919878.61300,10.33200,False
103,3,53,50,Sn,   -,-66972.59100,70.65900,8341.75700,0.68600,102928101.96200,75.85500,False
103,1,52,51,Sb,   x,-56178.00000,298.00000,8229.00000,3.00000,102939690.00000,320.00000,True
104,28,66,38,Sr,   x,-44106.00000,298.00000,8210.00000,3.00000,103952650.00000,320.00000,True
104,26,65,39,Y,   x,-54064.00000,401.00000,8298.00000,4.00000,103941960.00000,430.00000,True
104,24,64,40,Zr,   x,-65724.06000,9.32500,8402.37700,0.09000,103929442.31500,10.01100,False
104,22,63,41,Nb,   x,-71819.01200,2.73700,8453.45900,0.02600,103922899.11500,2.93800,False
104,20,62,42,Mo,    ,-80349.96800,8.92100,8527.96500,0.08600,103913740.75600,9.57600,False
104,18,61,43,Tc,    ,-82503.44400,24.88800,8541.14900,0.23900,103911428.90500,26.71800,False
104,16,60,44,Ru,    ,-88095.71000,2.49800,8587.39900,0.02400,103905425.36000,2.68100,False
104,14,59,45,Rh,  -n,-86959.34800,2.30300,8568.94900,0.02200,103906645.29500,2.47200,False
104,12,58,46,Pd,  +n,-89395.10500,1.33600,8584.84800,0.01300,103904030.40100,1.43400,False
104,10,57,47,Ag,   -,-85116.45200,4.21700,8536.18400,0.04100,103908623.72500,4.52700,False
104,8,56,48,Cd,    ,-83968.38000,1.67300,8517.62200,0.01600,103909856.23000,1.79500,False
104,6,55,49,In,   x,-76182.66500,5.77500,8435.23700,0.05600,103918214.54000,6.20000,False
104,4,54,50,Sn,    ,-71627.04700,5.74500,8383.91100,0.05500,103923105.19700,6.16700,False
104,2,53,51,Sb,  -p,-59173.62000,122.44400,8256.64400,1.17700,103936474.50200,131.44900,False
105,29,67,38,Sr,   x,-38610.00000,503.00000,8156.00000,5.00000,104958550.00000,540.00000,True
105,27,66,39,Y,   x,-51270.36100,1336.69400,8269.02000,12.73000,104944959.00000,1435.00000,False
105,25,65,40,Zr,   x,-61464.73400,12.11800,8358.65900,0.11500,104934014.89000,13.00800,False
105,23,64,41,Nb,   x,-69915.55100,4.02800,8431.69200,0.03800,104924942.56400,4.32400,False
105,21,63,42,Mo,    ,-77337.14100,9.06500,8494.92300,0.08600,104916975.15900,9.73100,False
105,19,62,43,Tc,    ,-82290.08800,35.26400,8534.64300,0.33600,104911657.95200,37.85700,False
105,17,61,44,Ru,    ,-85934.49000,2.49900,8561.90000,0.02400,104907745.52500,2.68200,False
105,15,60,45,Rh,    ,-87851.24300,2.50200,8572.70400,0.02400,104905687.80600,2.68500,False
105,13,59,46,Pd,    ,-88417.88800,1.13800,8570.65000,0.01100,104905079.48700,1.22200,False
105,11,58,47,Ag,    ,-87070.83600,4.54400,8550.37000,0.04300,104906525.60700,4.87700,False
105,9,57,48,Cd,    ,-84333.83900,1.39200,8516.85200,0.01300,104909463.89500,1.49400,False
105,7,56,49,In,   x,-79640.57200,10.24600,8464.70400,0.09800,104914502.32400,11.00000,False
105,5,55,50,Sn,    ,-73337.99200,3.97100,8397.22800,0.03800,104921268.42300,4.26300,False
105,3,54,51,Sb,  +a,-64015.48200,21.82700,8300.99200,0.20800,104931276.54900,23.43100,False
105,1,53,52,Te,  -a,-52811.51000,300.02000,8186.83600,2.85700,104943304.50800,322.08400,False
106,30,68,38,Sr,   x,-34790.00000,600.00000,8119.00000,6.00000,105962651.00000,644.00000,True
106,28,67,39,Y,   x,-46053.00000,503.00000,8218.00000,5.00000,105950560.00000,540.00000,True
106,26,66,40,Zr,   x,-58549.98700,433.14500,8328.45000,4.08600,105937144.00000,465.00000,False
106,24,65,41,Nb,   x,-66203.35700,4.12200,8393.27100,0.03900,105928927.76800,4.42400,False
106,22,64,42,Mo,   x,-76134.52800,9.14000,8479.58100,0.08600,105918266.21800,9.81200,False
106,20,63,43,Tc,   +,-79776.22300,12.25000,8506.55600,0.11600,105914356.69700,13.15000,False
106,18,62,44,Ru,    ,-86323.22300,5.39100,8560.94000,0.05100,105907328.20300,5.78700,False
106,16,61,45,Rh,    ,-86362.62700,5.39000,8553.93100,0.05100,105907285.90100,5.78500,False
106,14,60,46,Pd,    ,-89907.52700,1.10600,8579.99200,0.01000,105903480.29300,1.18600,False
106,12,59,47,Ag,    ,-86942.38300,3.01600,8544.63900,0.02800,105906663.50700,3.23700,False
106,10,58,48,Cd,    ,-87132.13800,1.10400,8539.04800,0.01000,105906459.79700,1.18400,False
106,8,57,49,In,   -,-80608.13400,12.22600,8470.12000,0.11500,105913463.60300,13.12500,False
106,6,56,50,Sn,    ,-77353.68700,5.09100,8432.03800,0.04800,105916957.39600,5.46500,False
106,4,55,51,Sb,   x,-66473.29200,7.45200,8322.01200,0.07000,105928637.98200,8.00000,False
106,2,54,52,Te,  -a,-58219.74800,100.54100,8236.76700,0.94800,105937498.52600,107.93400,False
107,31,69,38,Sr,   x,-28900.00000,700.00000,8064.00000,7.00000,106968975.00000,751.00000,True
107,29,68,39,Y,   x,-42364.00000,503.00000,8182.00000,5.00000,106954520.00000,540.00000,True
107,27,67,40,Zr,   x,-54379.68800,1122.45000,8287.07300,10.49000,106941621.00000,1205.00000,False
